variant,block,key,year,value,material,region,before
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2020,0.26,,,0.26
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2035,0.28,,,
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2060,0.29,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_scarcity_gain,2020,0.15,,,0.15
r36_lifetime_reman_low,sd_parameters,bottleneck_scarcity_gain,2035,0.14,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_scarcity_gain,2060,0.13,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_collection_sensitivity,2020,0.08,,,0.08
r36_lifetime_reman_low,sd_parameters,bottleneck_collection_sensitivity,2035,0.075,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_collection_sensitivity,2060,0.07,,,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2020,0.26,,,0.26
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2035,0.31,,,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2060,0.33,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_scarcity_gain,2020,0.15,,,0.15
r36_lifetime_reman_medium,sd_parameters,bottleneck_scarcity_gain,2035,0.12,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_scarcity_gain,2060,0.10,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_collection_sensitivity,2020,0.08,,,0.08
r36_lifetime_reman_medium,sd_parameters,bottleneck_collection_sensitivity,2035,0.065,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_collection_sensitivity,2060,0.05,,,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2020,0.26,,,0.26
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2035,0.34,,,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2060,0.37,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2020,0.15,,,0.15
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2035,0.10,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2060,0.07,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_collection_sensitivity,2020,0.08,,,0.08
r36_lifetime_reman_high,sd_parameters,bottleneck_collection_sensitivity,2035,0.05,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_collection_sensitivity,2060,0.03,,,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2035,0.34,,EU27,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2035,0.37,,EU27,
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2035,0.08,,EU27,
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2035,0.27,,RoW,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2035,0.29,,RoW,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2035,0.32,,RoW,
